Asset Name,Signal Name,Timestamp,Value,Unit
Tank B,RPM,11/21/2025 00:00:03,17.965963,
Tank B,RPM,11/21/2025 00:00:08,17.99459,
Tank B,RPM,11/21/2025 00:00:13,17.01486,
Tank B,RPM,11/21/2025 00:00:18,17.018711,
Tank B,RPM,11/21/2025 00:00:23,17.722496,
Tank B,RPM,11/21/2025 00:00:28,16.82586,
Tank B,RPM,11/21/2025 00:00:33,18.842905,
Tank B,RPM,11/21/2025 00:00:38,19.06619,
Tank B,RPM,11/21/2025 00:00:43,18.521763,
Tank B,RPM,11/21/2025 00:00:48,18.998398,
Tank B,RPM,11/21/2025 00:00:53,16.847446,
Tank B,RPM,11/21/2025 00:00:58,17.186762,
Tank B,RPM,11/21/2025 00:01:03,18.865374,
Tank B,RPM,11/21/2025 00:01:08,17.125996,
Tank B,RPM,11/21/2025 00:01:13,16.956957,
Tank B,RPM,11/21/2025 00:01:18,17.876842,
Tank B,RPM,11/21/2025 00:01:23,18.188717,
Tank B,RPM,11/21/2025 00:01:28,18.988472,
Tank B,RPM,11/21/2025 00:01:33,18.310572,
Tank B,RPM,11/21/2025 00:01:38,18.110382,
Tank B,RPM,11/21/2025 00:01:43,18.454285,
Tank B,RPM,11/21/2025 00:01:48,16.884428,
Tank B,RPM,11/21/2025 00:01:53,17.248178,
Tank B,RPM,11/21/2025 00:01:58,19.161798,
Tank B,RPM,11/21/2025 00:02:03,19.143837,
Tank B,RPM,11/21/2025 00:02:08,19.163391,
Tank B,RPM,11/21/2025 00:02:13,18.454468,
Tank B,RPM,11/21/2025 00:02:18,17.871017,
Tank B,RPM,11/21/2025 00:02:23,18.583313,
Tank B,RPM,11/21/2025 00:02:28,18.838367,
Tank B,RPM,11/21/2025 00:02:33,19.190323,
Tank B,RPM,11/21/2025 00:02:38,16.863335,
Tank B,RPM,11/21/2025 00:02:43,18.388426,
Tank B,RPM,11/21/2025 00:02:48,18.342812,
Tank B,RPM,11/21/2025 00:02:53,19.18499,
Tank B,RPM,11/21/2025 00:02:58,17.898249,
Tank B,RPM,11/21/2025 00:03:03,18.534191,
Tank B,RPM,11/21/2025 00:03:08,17.144001,
Tank B,RPM,11/21/2025 00:03:13,17.548027,
Tank B,RPM,11/21/2025 00:03:18,18.208582,
Tank B,RPM,11/21/2025 00:03:23,18.115234,
Tank B,RPM,11/21/2025 00:03:28,16.847483,
Tank B,RPM,11/21/2025 00:03:33,17.2419,
Tank B,RPM,11/21/2025 00:03:38,17.214323,
Tank B,RPM,11/21/2025 00:03:43,18.1425,
Tank B,RPM,11/21/2025 00:03:48,17.619303,
Tank B,RPM,11/21/2025 00:03:53,18.351284,
Tank B,RPM,11/21/2025 00:03:58,17.953583,
Tank B,RPM,11/21/2025 00:04:03,18.896646,
Tank B,RPM,11/21/2025 00:04:08,17.016603,
Tank B,RPM,11/21/2025 00:04:13,18.482819,
Tank B,RPM,11/21/2025 00:04:18,17.562551,
Tank B,RPM,11/21/2025 00:04:23,17.42632,
Tank B,RPM,11/21/2025 00:04:28,17.150276,
Tank B,RPM,11/21/2025 00:04:33,16.999554,
Tank B,RPM,11/21/2025 00:04:38,17.038082,
Tank B,RPM,11/21/2025 00:04:43,17.46834,
Tank B,RPM,11/21/2025 00:04:48,16.96429,
Tank B,RPM,11/21/2025 00:04:53,18.61207,
Tank B,RPM,11/21/2025 00:04:58,17.393476,
Tank B,RPM,11/21/2025 00:05:03,16.937107,
Tank B,RPM,11/21/2025 00:05:08,18.258732,
Tank B,RPM,11/21/2025 00:05:13,17.036535,
Tank B,RPM,11/21/2025 00:05:18,18.487312,
Tank B,RPM,11/21/2025 00:05:23,18.607506,
Tank B,RPM,11/21/2025 00:05:28,18.940228,
Tank B,RPM,11/21/2025 00:05:33,17.05193,
Tank B,RPM,11/21/2025 00:05:38,18.520203,
Tank B,RPM,11/21/2025 00:05:43,18.210823,
Tank B,RPM,11/21/2025 00:05:48,17.582094,
Tank B,RPM,11/21/2025 00:05:53,17.671228,
Tank B,RPM,11/21/2025 00:05:58,18.8836,
Tank B,RPM,11/21/2025 00:06:03,18.133167,
Tank B,RPM,11/21/2025 00:06:08,18.242216,
Tank B,RPM,11/21/2025 00:06:13,18.626162,
Tank B,RPM,11/21/2025 00:06:18,17.267836,
Tank B,RPM,11/21/2025 00:06:23,17.312344,
Tank B,RPM,11/21/2025 00:06:28,18.406609,
Tank B,RPM,11/21/2025 00:06:33,18.167711,
Tank B,RPM,11/21/2025 00:06:38,17.368011,
Tank B,RPM,11/21/2025 00:06:43,18.810982,
